State,State annual CO2 equivalent total output emission rate (lb/MWh),State annual total nonrenewables net generation (MWh),State annual total renewables net generation (MWh),State total production expenses including operator dwellings($1000),Share of U.S. total production expenses including operator dwellings(Percent)
AK,966.128,4342033,1814015,72955,0
AL,721.058,119834631,17007402,5148675,1.4
AR,951.287,48839978,5801281,8840049,2.5
AZ,736.979,96114769,13190288,4130981,1.2
CA,453.118,110674673,82279482,41500870,11.6
CO,1219.24,37218614,16573573,7945884,2.2
CT,529.766,39265173,1925399,556257,0.2
DC,801.121,106974,67547,0,0
DE,755.03,5073978,131394,1075074,0.3
FL,842.169,238451609,12328825,7750149,2.2
GA,723.513,105671813,13921563,7892733,2.2
HI,1526.5,7439241,1629999,633961,0.2
IA,615.198,24199572,35437099,27209990,7.6
ID,213.396,4229986,13444585,7230424,2
IL,556.444,156507019,16830687,16419638,4.6
IN,1549.45,82568218,7388006,10236374,2.9
KS,804.193,30424312,24117519,15722378,4.4
KY,1684.87,58118198,5395636,5544272,1.5
LA,761.738,97195892,3358812,2925535,0.8
MA,879.901,14202265,3992900,507554,0.1
MD,645.325,32578881,3419452,2262959,0.6
ME,228.179,2237749,7764122,615102,0.2
MI,938.031,96709974,9914747,7720040,2.2
MN,770.366,40636378,15864248,17005714,4.8
MO,1618.42,66442664,5428458,9698942,2.7
MS,894.134,64651957,1847332,5048704,1.4
MT,912.637,9481171,13872119,3921654,1.1
NC,648.445,105124842,19209423,11100608,3.1
ND,1388.14,26091656,16084768,8042514,2.2
NE,1200.67,26107499,10648740,19069025,5.3
NH,247.895,13673378,2667595,231108,0.1
NJ,492.293,58578058,2528400,1029278,0.3
NM,1259.87,24755709,9250130,2767942,0.8
NV,716.623,28728879,11606341,701810,0.2
NY,416.695,91870655,37541300,4659799,1.3
OH,1253.28,117491996,3500737,8890136,2.5
OK,708.652,49722083,32575748,6561670,1.8
OR,341.611,20652012,42972770,5292777,1.5
PA,697.527,221360618,8774335,6706133,1.9
PR,1608.5,17786885,428993,0,0
RI,827.559,8276844,616897,64241,0
SC,513.861,91547963,6980834,2581777,0.7
SD,340.583,2758069,11388458,8885683,2.5
TN,571.407,66730539,13835471,4084311,1.1
TX,857.519,369966928,103399309,20621283,5.8
UT,1565.76,32442621,4644687,1716675,0.5
VA,644.845,96500538,6299319,3950852,1.1
VT,30.31,1231,2153687,702406,0.2
WA,213.274,28922609,87156565,9396997,2.6
WI,1192.01,55655306,5785231,10592998,3
WV,1924.73,53165248,3496285,859269,0.2
WY,1990.11,35246993,6763997,1652395,0.5
