State,State annual CO2 equivalent total output emission rate (lb/MWh),State annual total nonrenewables net generation (MWh),State annual total renewables net generation (MWh)
AK,966.128,4342033,1814015
AL,721.058,119834631,17007402
AR,951.287,48839978,5801281
AZ,736.979,96114769,13190288
CA,453.118,110674673,82279482
CO,1219.24,37218614,16573573
CT,529.766,39265173,1925399
DC,801.121,106974,67547
DE,755.03,5073978,131394
FL,842.169,238451609,12328825
GA,723.513,105671813,13921563
HI,1526.5,7439241,1629999
IA,615.198,24199572,35437099
ID,213.396,4229986,13444585
IL,556.444,156507019,16830687
IN,1549.45,82568218,7388006
KS,804.193,30424312,24117519
KY,1684.87,58118198,5395636
LA,761.738,97195892,3358812
MA,879.901,14202265,3992900
MD,645.325,32578881,3419452
ME,228.179,2237749,7764122
MI,938.031,96709974,9914747
MN,770.366,40636378,15864248
MO,1618.42,66442664,5428458
MS,894.134,64651957,1847332
MT,912.637,9481171,13872119
NC,648.445,105124842,19209423
ND,1388.14,26091656,16084768
NE,1200.67,26107499,10648740
NH,247.895,13673378,2667595
NJ,492.293,58578058,2528400
NM,1259.87,24755709,9250130
NV,716.623,28728879,11606341
NY,416.695,91870655,37541300
OH,1253.28,117491996,3500737
OK,708.652,49722083,32575748
OR,341.611,20652012,42972770
PA,697.527,221360618,8774335
PR,1608.5,17786885,428993
RI,827.559,8276844,616897
SC,513.861,91547963,6980834
SD,340.583,2758069,11388458
TN,571.407,66730539,13835471
TX,857.519,369966928,103399309
UT,1565.76,32442621,4644687
VA,644.845,96500538,6299319
VT,30.31,1231,2153687
WA,213.274,28922609,87156565
WI,1192.01,55655306,5785231
WV,1924.73,53165248,3496285
WY,1990.11,35246993,6763997
