city_name,state_id,acquittal
Auburn,AL,11.1
Birmingham,AL,16.6
Wilmington,DE,14.9
Washington,DC,9.1
Decatur,AL,15.9
Boca Raton,FL,11.3
Bonita Springs,FL,14.5
Boynton Beach,FL,14.8
Bradenton,FL,15.6
Cape Coral,FL,14.2
Dothan,AL,16.2
Clearwater,FL,14.5
Coconut Creek,FL,12.6
Coral Gables,FL,9.2
Coral Springs,FL,11.8
Davie,FL,11.9
Daytona Beach,FL,16.4
Deerfield Beach,FL,15.6
Delray Beach,FL,14.5
Deltona,FL,14.6
Doral,FL,9.4
Fort Lauderdale,FL,13.8
Fort Myers,FL,15.8
Gainesville,FL,11.1
Hialeah,FL,17.9
Hollywood,FL,14.3
Homestead,FL,15.5
Jacksonville,FL,13.9
Jupiter,FL,11.8
Kissimmee,FL,15.8
Lakeland,FL,15.7
Largo,FL,15.3
Lauderhill,FL,17
Margate,FL,15
Melbourne,FL,15.4
Miami,FL,16.1
Miami Beach,FL,11.5
Miami Gardens,FL,16.5
Miramar,FL,11.7
North Miami,FL,16.6
North Port,FL,13.8
Ocala,FL,16.5
Orlando,FL,12.6
Palm Bay,FL,15.6
Palm Beach Gardens,FL,11.9
Palm Coast,FL,14.7
Pembroke Pines,FL,12.4
Pensacola,FL,14.3
Pinellas Park,FL,14.9
Plantation,FL,11.7
Pompano Beach,FL,16
Port Orange,FL,15.2
Port St. Lucie,FL,14.2
St. Petersburg,FL,13.6
Sanford,FL,13.6
Sarasota,FL,14.4
Sunrise,FL,13.7
Tallahassee,FL,11.2
Tamarac,FL,14.6
Tampa,FL,13.9
Wellington,FL,11.2
Weston,FL,9.3
West Palm Beach,FL,14.2
Albany,GA,16.3
Alpharetta,GA,8
Athens,GA,11.8
Atlanta,GA,11.1
Augusta,GA,15.5
Brookhaven,GA,8.7
Columbus,GA,14.3
Johns Creek,GA,7.9
Macon,GA,15.7
Marietta,GA,11.5
Hoover,AL,9.9
Roswell,GA,9.1
Sandy Springs,GA,8.3
Savannah,GA,13.7
Huntsville,AL,13.2
Smyrna,GA,9.7
Stonecrest,GA,12.5
Valdosta,GA,14.8
Warner Robins,GA,13.1
Mobile,AL,15
Honolulu,HI,11.2
Montgomery,AL,15.3
Boise City,ID,10.2
Caldwell,ID,14.2
Idaho Falls,ID,12.9
Meridian,ID,9.7
Nampa,ID,13.4
Pocatello,ID,12.1
Arlington Heights,IL,9
Aurora,IL,11.6
Berwyn,IL,11.6
Bloomington,IL,10.6
Bolingbrook,IL,9.8
Champaign,IL,10.1
Chicago,IL,12
Cicero,IL,13.6
Decatur,IL,15.2
Des Plaines,IL,10.9
Elgin,IL,11.6
Evanston,IL,8.6
Hoffman Estates,IL,9
Joliet,IL,12.2
Mount Prospect,IL,9.8
Naperville,IL,7.9
Normal,IL,10.7
Oak Lawn,IL,11.9
Oak Park,IL,8.3
Orland Park,IL,10.2
Palatine,IL,9.2
Peoria,IL,13.2
Rockford,IL,15
Schaumburg,IL,9
Skokie,IL,10.4
Springfield,IL,13.2
Tuscaloosa,AL,12.9
Tinley Park,IL,10.4
Waukegan,IL,14.1
Wheaton,IL,8.4
Anderson,IN,17
Bloomington,IN,10.4
Carmel,IN,8.7
Elkhart,IN,15.8
Evansville,IN,15.2
Fishers,IN,8
Fort Wayne,IN,13.6
Gary,IN,21
Greenwood,IN,11.4
Hammond,IN,16.8
Indianapolis,IN,13.7
Kokomo,IN,15.8
Lafayette,IN,12.7
Muncie,IN,15
Noblesville,IN,10.4
South Bend,IN,15.6
Terre Haute,IN,15
Ames,IA,8.2
Ankeny,IA,7.5
Cedar Rapids,IA,9.9
Council Bluffs,IA,11.4
Davenport,IA,11.2
Des Moines,IA,11.3
Dubuque,IA,10.7
Iowa City,IA,8.3
Sioux City,IA,11.5
Waterloo,IA,12.2
West Des Moines,IA,7.3
Anchorage,AK,10.8
Kansas City,KS,16.2
Lawrence,KS,9.3
Lenexa,KS,8.3
Manhattan,KS,9.1
Olathe,KS,8.8
Overland Park,KS,8.3
Shawnee,KS,9.1
Topeka,KS,13
Wichita,KS,13.2
Bowling Green,KY,14.5
Lexington,KY,13.2
Louisville,KY,13.2
Owensboro,KY,17.2
Baton Rouge,LA,13.2
Bossier City,LA,14
Kenner,LA,14.2
Lafayette,LA,13.4
Lake Charles,LA,15.2
New Orleans,LA,13.7
Shreveport,LA,15.5
Portland,ME,10.3
Baltimore,MD,13.4
Bowie,MD,8.9
Frederick,MD,10.3
Gaithersburg,MD,9.3
Rockville,MD,8.5
Boston,MA,11.1
Brockton,MA,15.4
Cambridge,MA,7.6
Chicopee,MA,15.1
Fall River,MA,16.8
Haverhill,MA,12.2
Lawrence,MA,15.6
Lowell,MA,14.1
Lynn,MA,13.8
Malden,MA,12.3
Medford,MA,10.1
New Bedford,MA,17
Newton,MA,8.4
Peabody,MA,12.4
Quincy,MA,10.9
Revere,MA,13.7
Somerville,MA,8.6
Springfield,MA,17
Taunton,MA,14.5
Waltham,MA,9.5
Weymouth Town,MA,11.4
Worcester,MA,13.7
Ann Arbor,MI,9.1
Battle Creek,MI,16.1
Dearborn,MI,17
Dearborn Heights,MI,16.5
Detroit,MI,20.9
Farmington Hills,MI,11.6
Flint,MI,20.9
Grand Rapids,MI,13.7
Kalamazoo,MI,13.8
Kentwood,MI,13.5
Lansing,MI,14.8
Livonia,MI,12.2
Novi,MI,10.2
Pontiac,MI,19.8
Rochester Hills,MI,10.7
Royal Oak,MI,10
St. Clair Shores,MI,13.5
Southfield,MI,14.2
Sterling Heights,MI,13.9
Taylor,MI,16.2
Troy,MI,10.5
Warren,MI,16
Westland,MI,14.7
Wyoming,MI,13.9
Apple Valley,MN,8.9
Blaine,MN,9.8
Bloomington,MN,9.5
Brooklyn Park,MN,9.9
Burnsville,MN,9.7
Coon Rapids,MN,10.5
Duluth,MN,10.9
Eagan,MN,8.1
Eden Prairie,MN,7.6
Edina,MN,8
Lakeville,MN,8
Maple Grove,MN,7.8
Minneapolis,MN,9.7
Minnetonka,MN,8.3
Plymouth,MN,7.9
Rochester,MN,9.2
St. Cloud,MN,10.5
St. Paul,MN,10.3
Woodbury,MN,7.5
Gulfport,MS,15.9
Jackson,MS,15.3
Southaven,MS,12.3
Blue Springs,MO,11.3
Columbia,MO,10.5
Florissant,MO,12.9
Independence,MO,14.9
Joplin,MO,14.6
Kansas City,MO,13.6
Lee's Summit,MO,10.4
O'Fallon,MO,10.5
St. Charles,MO,12
St. Joseph,MO,15.2
St. Louis,MO,14.3
St. Peters,MO,10.9
Springfield,MO,14.9
Billings,MT,11.9
Great Falls,MT,13.5
