CityName,StateID,Beliefs
Anchorage,AK,1220
Auburn,AL,NA
Birmingham,AL,NA
Decatur,AL,NA
Dothan,AL,NA
Hoover,AL,133.8
Huntsville,AL,NA
Mobile,AL,NA
Montgomery,AL,NA
Tuscaloosa,AL,NA
Conway,AR,490
Fayetteville,AR,465
Fort Smith,AR,983.6
Jonesboro,AR,706.2
Little Rock,AR,1520
North Little Rock,AR,850.5
Rogers,AR,497.4
Springdale,AR,NA
Avondale,AZ,296.2
Buckeye,AZ,153.4
Casa Grande,AZ,492.3
Chandler,AZ,234.7
Flagstaff,AZ,506.9
Gilbert,AZ,100.7
Glendale,AZ,348.2
Goodyear,AZ,214
Lake Havasu City,AZ,159.6
Mesa,AZ,390.8
Peoria,AZ,242
Phoenix,AZ,722.8
Scottsdale,AZ,165.6
Surprise,AZ,101.9
Tempe,AZ,474.2
Tucson,AZ,697.2
Yuma,AZ,390.2
Alameda,CA,206.3
Alhambra,CA,190.2
Aliso Viejo,CA,53.3
Anaheim,CA,320
Antioch,CA,582.7
Apple Valley,CA,466.1
Arcadia,CA,144.4
Bakersfield,CA,467.3
Baldwin Park,CA,247.7
Bellflower,CA,423.6
Berkeley,CA,508.7
Brentwood,CA,267.9
Buena Park,CA,298.2
Burbank,CA,182.3
Camarillo,CA,85.1
Carlsbad,CA,210.1
Carson,CA,482.2
Cathedral City,CA,264.9
Cerritos,CA,253.3
Chico,CA,589.2
Chino,CA,367.1
Chino Hills,CA,117.7
Chula Vista,CA,336.2
Citrus Heights,CA,358.2
Clovis,CA,222.6
Colton,CA,393.9
Compton,CA,1140.5
Concord,CA,418.8
Corona,CA,174.3
Costa Mesa,CA,275.7
Cupertino,CA,91.3
Daly City,CA,217.5
Davis,CA,156.1
Delano,CA,387.6
Diamond Bar,CA,128.1
Downey,CA,313.4
Dublin,CA,174.7
Eastvale,CA,133.8
El Cajon,CA,535
Elk Grove,CA,217.8
El Monte,CA,263.2
Encinitas,CA,137
Escondido,CA,354.3
Fairfield,CA,383.4
Folsom,CA,104.9
Fontana,CA,350.6
Fountain Valley,CA,94.6
Fremont,CA,169.7
Fresno,CA,NA
Fullerton,CA,267.2
Gardena,CA,542.6
Garden Grove,CA,291.5
Gilroy,CA,442.2
Glendale,CA,115.4
Glendora,CA,299.2
Hanford,CA,455.1
Hawthorne,CA,730.1
Hayward,CA,346.5
Hemet,CA,405.7
Hesperia,CA,490.4
Highland,CA,657.6
Huntington Beach,CA,192.8
Huntington Park,CA,784.9
Indio,CA,592.4
Inglewood,CA,612.2
Irvine,CA,68.8
Jurupa Valley,CA,300
Laguna Niguel,CA,65.3
La Habra,CA,231
Lake Elsinore,CA,262.9
Lake Forest,CA,78.6
Lakewood,CA,276.5
La Mesa,CA,292.2
Lancaster,CA,854.6
Livermore,CA,215.2
Lodi,CA,359.9
Long Beach,CA,507.5
Los Angeles,CA,741.1
Lynwood,CA,642.7
Madera,CA,515.2
Manteca,CA,251.5
Menifee,CA,160.5
Merced,CA,653.3
Milpitas,CA,128.3
Mission Viejo,CA,68.1
Modesto,CA,826.8
Montebello,CA,283.7
Monterey Park,CA,208.5
Moreno Valley,CA,408.6
Mountain View,CA,202.1
Murrieta,CA,68.2
Napa,CA,354.1
National City,CA,595.5
Newport Beach,CA,157.5
Norwalk,CA,410.2
Novato,CA,266
Oakland,CA,1298.5
Oceanside,CA,405.4
Ontario,CA,372.8
Orange,CA,128.7
Oxnard,CA,347.8
Palmdale,CA,421
Palm Desert,CA,258.7
Palo Alto,CA,129.2
Paramount,CA,636.5
Pasadena,CA,434
Perris,CA,339
Petaluma,CA,312.7
Pico Rivera,CA,371.4
Pittsburg,CA,624.5
Placentia,CA,370.5
Pleasanton,CA,137.1
Pomona,CA,617.6
Porterville,CA,321.6
Rancho Cordova,CA,307.6
Rancho Cucamonga,CA,283.5
Redding,CA,NA
Redlands,CA,361
Redondo Beach,CA,237.3
Redwood City,CA,220.3
Rialto,CA,577.4
Richmond,CA,941
Riverside,CA,516.5
Rocklin,CA,103.3
Rosemead,CA,322.4
Roseville,CA,191
Sacramento,CA,643.4
