"Location","Total","Occupied","Vacant"
"Abanda CDP, Alabama","","",""
"    Abanda CDP, Alabama","74","56","18"
"Abbeville city, Alabama","","",""
"    Abbeville city, Alabama","1,246","999","247"
"Adamsville city, Alabama","","",""
"    Adamsville city, Alabama","1,979","1,717","262"
"Addison town, Alabama","","",""
"    Addison town, Alabama","321","281","40"
"Akron town, Alabama","","",""
"    Akron town, Alabama","148","96","52"
"Alabaster city, Alabama","","",""
"    Alabaster city, Alabama","11,990","11,571","419"
"Albertville city, Alabama","","",""
"    Albertville city, Alabama","8,111","7,671","440"
"Alexander City city, Alabama","","",""
"    Alexander City city, Alabama","7,236","6,194","1,042"
"Alexandria CDP, Alabama","","",""
"    Alexandria CDP, Alabama","1,655","1,567","88"
"Aliceville city, Alabama","","",""
"    Aliceville city, Alabama","1,081","883","198"
"Allgood town, Alabama","","",""
"    Allgood town, Alabama","190","167","23"
"Altoona town, Alabama","","",""
"    Altoona town, Alabama","417","372","45"
"Andalusia city, Alabama","","",""
"    Andalusia city, Alabama","4,335","3,667","668"
"Anderson town, Alabama","","",""
"    Anderson town, Alabama","149","124","25"
"Anniston city, Alabama","","",""
"    Anniston city, Alabama","11,155","9,221","1,934"
"Arab city, Alabama","","",""
"    Arab city, Alabama","3,739","3,484","255"
"Ardmore town, Alabama","","",""
"    Ardmore town, Alabama","636","571","65"
"Argo town, Alabama","","",""
"    Argo town, Alabama","1,629","1,523","106"
"Ariton town, Alabama","","",""
"    Ariton town, Alabama","306","256","50"
"Arley town, Alabama","","",""
"    Arley town, Alabama","158","126","32"
"Ashford town, Alabama","","",""
"    Ashford town, Alabama","1,004","930","74"
"Ashland town, Alabama","","",""
"    Ashland town, Alabama","1,003","863","140"
"Ashville city, Alabama","","",""
"    Ashville city, Alabama","950","845","105"
"Athens city, Alabama","","",""
"    Athens city, Alabama","11,279","10,407","872"
"Atmore city, Alabama","","",""
"    Atmore city, Alabama","3,348","2,908","440"
"Attalla city, Alabama","","",""
"    Attalla city, Alabama","2,759","2,403","356"
"Auburn city, Alabama","","",""
"    Auburn city, Alabama","33,209","30,233","2,976"
"Autaugaville town, Alabama","","",""
"    Autaugaville town, Alabama","438","336","102"
"Avon town, Alabama","","",""
"    Avon town, Alabama","218","211","7"
"Axis CDP, Alabama","","",""
"    Axis CDP, Alabama","242","222","20"
"Babbie town, Alabama","","",""
"    Babbie town, Alabama","299","263","36"
"Baileyton town, Alabama","","",""
"    Baileyton town, Alabama","301","274","27"
"Bakerhill town, Alabama","","",""
"    Bakerhill town, Alabama","109","95","14"
"Ballplay CDP, Alabama","","",""
"    Ballplay CDP, Alabama","656","567","89"
"Banks town, Alabama","","",""
"    Banks town, Alabama","111","85","26"
"Bay Minette city, Alabama","","",""
"    Bay Minette city, Alabama","3,285","2,935","350"
"Bayou La Batre city, Alabama","","",""
"    Bayou La Batre city, Alabama","903","815","88"
"Bear Creek town, Alabama","","",""
"    Bear Creek town, Alabama","460","403","57"
"Beatrice town, Alabama","","",""
"    Beatrice town, Alabama","138","95","43"
"Beaverton town, Alabama","","",""
"    Beaverton town, Alabama","121","95","26"
"Belgreen CDP, Alabama","","",""
"    Belgreen CDP, Alabama","68","63","5"
"Belk town, Alabama","","",""
"    Belk town, Alabama","93","74","19"
"Bellamy CDP, Alabama","","",""
"    Bellamy CDP, Alabama","232","168","64"
"Belle Fontaine CDP, Alabama","","",""
"    Belle Fontaine CDP, Alabama","277","243","34"
"Benton town, Alabama","","",""
"    Benton town, Alabama","19","18","1"
"Berlin town, Alabama","","",""
"    Berlin town, Alabama","206","191","15"
